path,ext,bytes,lines,sha256
app/api/build/route.ts,.ts,1716,55,1906ad3eaed145dd4433a2dda3b9d8063eff68b87aa1fa85a28979c896520ec9
app/api/chat/route.ts,.ts,30512,821,7db42503b094e04d238d35758f20afbd245341de69d88d853447e78a0344cd11
app/api/draft/route.ts,.ts,2055,62,356a26dbff0af566e56fd55e4f500f819dbf0ddcc2a40defb4083b621e404452
app/api/reasoning/route.ts,.ts,31817,888,9e4d6845a8ae7cc70624e21eb551e6f61216303b3a44eadf8204eba70b808c28
app/api/review/route.ts,.ts,1980,66,10a4426cb1ba49a12b17c27afea4958ab36242473d38b0dd4f163176c5effb9d
app/builds/loading.tsx,.tsx,913,20,ca1bcbb4dc5b0b9b5c176f0f647d0e1dd81882dc3f9c4622ac47d4dcbe3b2c40
app/builds/page.tsx,.tsx,6319,170,df9f5953585a1beb8618fa3017f703714b636952ffc16ba6db4a2d7ecd9fea6b
app/climb/page.tsx,.tsx,2057,21,90abd55245b11c2465573b5dd7627a033cdfb9a883cb72fd2ec92735eb0c9e80
app/coach/error.tsx,.tsx,3630,92,bd50bee13ce56c4aab3dfb93c5d26e7ee1264bedbcf5a29406d8f0049870cbd7
app/coach/page.tsx,.tsx,23409,594,c3424bf24af1c94594e095ccde8507705602946059d20e183b34d32fbc7d7057
app/draft/loading.tsx,.tsx,1464,35,3aabff03ed4f43f5f1e33f3b026e20b1c090a70bf1f88d77a71d70233e5a8e77
app/draft/page.tsx,.tsx,28754,615,592511ef19de20e0c13bbf2dc99da1d9e874b9c15f10892d66bc414d34b164d0
app/error.tsx,.tsx,2645,74,21960209872e92fbe2e7d7e29e7104163f7dcf437cb15cc227c767951d4f3e0d
app/globals.css,.css,7136,234,3f3da6f25cd2cac923417aaae2339c78cf4e5440d258070bfe983d836659fbe8
app/items/loading.tsx,.tsx,1145,22,6a12970caf9464c2d23f4a8256390a17560047e66c55c6eb186c75c1fde78ec5
app/items/page.tsx,.tsx,5161,106,fc020e29a3fc7bd12bd104fce32a92de47250e28474e377d4f23979383602372
app/layout.tsx,.tsx,740,29,704fb28d0fcec47fbaed250722c792461ad89b96208864bb63ca56ace43ba65a
app/page.tsx,.tsx,3945,83,27df50e5c8a43fc549a757fbce46dc7f995be996861e6c2e9b3a4b0eeaeaefec
app/review/page.tsx,.tsx,5385,59,da96e8d15c4d17840ac4c7536bc3e2d176b591d145305bbb7154bad95d672eef
app/runes/loading.tsx,.tsx,1182,24,eb79fe0b0335edcc169b3a6c0c9526e0d2adca420cc61ad29ba69f18b2b27098
app/runes/page.tsx,.tsx,6658,132,a0f0d514e01f5194e78012cec54f7efa353848e7216b709f29cc91d299b55cbb
app/settings/page.tsx,.tsx,5617,121,432eb923ea4aef2ca28513a62b221fc3f4656f3cd9c73fde3d5a87ad90ba7837
app/spells/loading.tsx,.tsx,1146,22,00d8d5b6e3afed18209ca8a69cb99508d2250e604bdc89ed2b96c6d390c24005
app/spells/page.tsx,.tsx,3022,66,fc6e2d758403725e218ada9d9f30d208ea26bc978f5d11c2c0330711c9e12dcb
app/synergy/loading.tsx,.tsx,1081,26,177640e7f8b93fae71de51ca246fd591067daadbb9197feb32e75b6220456738
app/synergy/page.tsx,.tsx,11275,244,bc55492cbbb19524c5f14ebf04edf70984b8f58e325c27b179fa1f538bb48275
app/tierlist/loading.tsx,.tsx,1307,31,b1928502d87181328c26b364707d266249fd70611970eda2ea1a98b61000b330
app/tierlist/page.tsx,.tsx,8722,223,ff7da3be6d0c23dcab53504f6bdcb8a6aa9ff9f0ff8b575b8ed6dcf99f65554d
components/app/animated-background.tsx,.tsx,1440,36,cebfe9a0c9cbed5fb8a8342231b00be391cbdd028ee668f3beff034b3798d531
components/app/app-shell.tsx,.tsx,4454,118,66404313137ac76acfd73cce1638538a4df0b997fbde17b8d4507922e8c136dc
components/app/hex-portrait.tsx,.tsx,2720,101,ed30cb0fd91c864feeb314d9e9e9c6e926854eb900b2b4c19e2213d242566f7c
components/app/markdown-message.tsx,.tsx,4932,148,27c37c47e27f5f0222e7e7ac6d285a8ae7cdcbfdf70de44b2614bd3f88486297
components/app/motion-card.tsx,.tsx,1549,66,a433f9207eeb023dab9febeac56d6644e8291d1fe5c4fbd02d222162d2cc8dd4
components/app/page-transition.tsx,.tsx,707,25,52196cdd54609b10e2bd4102919f372abcdebc116c49a367f413f29c02b6bdd4
components/app/shimmer.tsx,.tsx,445,28,c564b8771e4dc1393a851d07d877deb58b80d3157c2e2058e5ab55d6c1a99e5b
components/app/sidebar.tsx,.tsx,5141,141,f010b12c6101f75fdfd52063ceb451b761e2608bba5677fb273c5befdc7a18b1
components/app/smart-image.tsx,.tsx,2303,96,f6758ec546c1e27fe5c0c56e01798bf33bbd50836677bf728f29d718c551da7c
components/app/stagger-grid.tsx,.tsx,1164,70,c81294652cd63e73b9390d2bc4164f62e55acb73d9d33710a1adbb958a9705d4
components/app/theme-provider.tsx,.tsx,429,22,d894968b5fa5de2892d17e324882e74fec281f2a9133ee33f24f42c1fd72f8c7
components/app/theme-toggle.tsx,.tsx,1049,40,fde4c0d77b04c4f692c22e067d798ed9a841677967b42b6d1bda3c5f473b96dd
components/app/tier-badge.tsx,.tsx,1798,85,1bfaa05c11d8780c21aefd24904a7c46c2a10f61977bd071f53c73531c3ca876
components/build/BuildInsights.tsx,.tsx,3168,90,b62dc5240ac14781b22aa1f41444e367b1f48031e1c5823543655d728cdf51e9
components/build/BuildOrder.tsx,.tsx,10403,304,8245dcdd7f19bab9210db127c30ef56a597106bbfc306fa71451d0a76acd63bc
components/build/BuildView.tsx,.tsx,10614,304,eb4e25ec2e505b4339a3f6b9e896a2104177021ac1407995ad1b7d3b592973a7
components/build/ChampionAbilities.tsx,.tsx,11899,311,f7630e25ebb1959069aa80184844233c5df58d9bdff636c83ffb7fa68ce32a57
components/build/CoreItemsTable.tsx,.tsx,3905,104,1c8b2c06ff72612557c80c295e2fec6ae385a1ba64cd36a391ea8f53cbd8eeda
components/build/CounterStrategy.tsx,.tsx,3530,108,3a4d997f988ba21f2a6f63797ffa048fffed97967cae370bd3b7cbede5686715
components/build/GlassCard.tsx,.tsx,769,39,60670162f34939423fd92fdc40aabe1317e91a98f6445213bee305fbc379c22b
components/build/GoldEfficiency.tsx,.tsx,12712,364,3e8fd36cf3f5201b4fed7683602522aede59490090f6c391a36c1dfeff01d9a9
components/build/MatchupList.tsx,.tsx,5763,150,154eda85aeb2c8b72910108f27d800f070e0862e723e4d39a8121bc81da6cc74
components/build/PowerCurve.tsx,.tsx,6848,218,5e2ed9a254237c322d998801c8eab5b8eac70e95a2f8eb8dec91915305841fe1
components/build/ProsCons.tsx,.tsx,4462,122,3cfcda4e5580939a167813f45e10c6c015cee2ac3cc54f9044bdffe8060f5caf
components/build/ReasoningStatus.tsx,.tsx,3783,107,5d31349860c2e9a60fe63e40a5fc4d12a46f367f1559ec9ddc4517a9f0640b68
components/build/RuneList.tsx,.tsx,2911,85,ad0ab71cc0695045d6d10491352b6bdc03575c318f5c7755586aa7a2d1cbb3d0
components/build/SituationalItemsTable.tsx,.tsx,4090,114,ae4ffbfe5af010e5e817068a0c489adbda410fc1e1085257d7eb91c0b65f62a7
components/build/SpellList.tsx,.tsx,2934,86,8a0019f44ef3592487e807bb723fe22a64f75606f535fd5bb9253d0fdb153d64
components/build/StatsBlock.tsx,.tsx,8250,278,b39c401df22bca2a5edfa444e23a3074c92909ace596003cf7cc307bef3a3d59
components/build/SynergyChamps.tsx,.tsx,4290,119,970ba708c14db849f40e48513ab9395ba1e0e47c6630170b3cb894b4006b1456
components/build/VariantBadge.tsx,.tsx,2019,76,970e10eecd4da760858c75df5f96b81fb51cb8247125e4fb935b491b6b67ac7a
components/ui/badge.tsx,.tsx,1925,53,968b0403af74a785c9408ca69a677235e49d0c80b2c27fb9858ad421a8778c7d
components/ui/button.tsx,.tsx,3197,59,f3aef38b4236eba6dc8305c57a73deef526acc480e86b502ef702a4a3faea496
components/ui/card.tsx,.tsx,2628,104,12f50f5a0f22974236da15cf0402d046442f72d9e0191775adcd2238aeb96267
components/ui/dialog.tsx,.tsx,4062,161,2ccf791144e2ccbd1e69720e75010ab2e3b0186694afbfe7f7e27d886ac35cd2
components/ui/input.tsx,.tsx,1040,21,f7d6ecff9a4d631feeaf401c02bb87e26ddb38131c55d15a43b9290747390847
components/ui/scroll-area.tsx,.tsx,1624,56,42de3962daca60255bf1d3cd90bd3c038db73a3ed61ecaac6cffc6a153181e4a
components/ui/sheet.tsx,.tsx,4420,139,346de71c2d7c2a43f857c9abb13fb5e6d4a0a228e87338fce29f6dd42010dd89
components/ui/skeleton.tsx,.tsx,275,14,8110bba70d0cb9fe968c0b7bd092ad12258caef40b028b4a87f402bdab907faf
components/ui/tabs.tsx,.tsx,3497,83,8bf9ee3935ab86c268a2a71cb5b4b67d3d5587ca9f2e0bf25f37ffdb1980434c
components/ui/tooltip.tsx,.tsx,2846,67,2cea2294d4947b88d815860f64e0b5e0eb47a59bde47cfd194aac2230c923865
data/build-variants.ts,.ts,27581,801,5f4a48fec08c1eadfa8bea96448552cc92cc0878722edab92931f294709066a8
hooks/useReasoning.ts,.ts,5788,182,37ec606a542a9594321a94a4dc0287069aa3230f6741092c3bac3b6a9d717486
lib/build-engine.ts,.ts,34975,828,3c77f98c2b55c7398362af6a7b2bffd0a73ddd3ceb6de84f5a33ba8d8bf58959
lib/build-modifier.ts,.ts,27043,869,3a597dee1f27a4879b0eb20d063d332416c14f84b5373247720a8d6dcd55d4bc
lib/constants.ts,.ts,1436,31,0685847b935ac154342f39548f00eee096707095e524ed6025ca0c6d834c3afe
lib/context-assembler.ts,.ts,26577,806,f9772587bb35ed8ad3da04fa7ade9cf6eef5056e3307956172c3991a82108523
